OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-04-09,14,0,2024-04-09T20:00:00-00:00,2024-04-09T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-3.23276,ACTUAL,2
2024-04-09,13,0,2024-04-09T19:00:00-00:00,2024-04-09T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,1.61466,ACTUAL,2
2024-04-09,12,0,2024-04-09T18:00:00-00:00,2024-04-09T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,-0.14168,ACTUAL,2
2024-04-09,11,0,2024-04-09T17:00:00-00:00,2024-04-09T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,0.2851,ACTUAL,2
2024-04-09,10,0,2024-04-09T16:00:00-00:00,2024-04-09T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,20.35038,ACTUAL,2
2024-04-09,9,0,2024-04-09T15:00:00-00:00,2024-04-09T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,30.38341,ACTUAL,2
2024-04-09,8,0,2024-04-09T14:00:00-00:00,2024-04-09T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,41.86157,ACTUAL,2
2024-04-09,7,0,2024-04-09T13:00:00-00:00,2024-04-09T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,34.66696,ACTUAL,2
2024-04-09,6,0,2024-04-09T12:00:00-00:00,2024-04-09T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,23.39094,ACTUAL,2
2024-04-09,5,0,2024-04-09T11:00:00-00:00,2024-04-09T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,106.47889,ACTUAL,2
2024-04-09,4,0,2024-04-09T10:00:00-00:00,2024-04-09T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,235.601,ACTUAL,2
2024-04-09,3,0,2024-04-09T09:00:00-00:00,2024-04-09T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,314.20011,ACTUAL,2
2024-04-09,2,0,2024-04-09T08:00:00-00:00,2024-04-09T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,308.93125,ACTUAL,2
2024-04-09,5,0,2024-04-09T11:00:00-00:00,2024-04-09T12:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-38.74538,ACTUAL,3
2024-04-09,1,0,2024-04-09T07:00:00-00:00,2024-04-09T08:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-37.10131,ACTUAL,3
2024-04-09,9,0,2024-04-09T15:00:00-00:00,2024-04-09T16:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7487.43725,ACTUAL,3
2024-04-09,6,0,2024-04-09T12:00:00-00:00,2024-04-09T13:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-39.24872,ACTUAL,3
2024-04-09,15,0,2024-04-09T21:00:00-00:00,2024-04-09T22:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8490.01521,ACTUAL,3
2024-04-09,12,0,2024-04-09T18:00:00-00:00,2024-04-09T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8785.23299,ACTUAL,3
2024-04-09,7,0,2024-04-09T13:00:00-00:00,2024-04-09T14:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,388.12732,ACTUAL,3
2024-04-09,14,0,2024-04-09T20:00:00-00:00,2024-04-09T21:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8877.34958,ACTUAL,3
2024-04-09,10,0,2024-04-09T16:00:00-00:00,2024-04-09T17:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8024.07548,ACTUAL,3
2024-04-09,17,0,2024-04-09T23:00:00-00:00,2024-04-10T00:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8139.97016,ACTUAL,3
2024-04-09,4,0,2024-04-09T10:00:00-00:00,2024-04-09T11:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-38.02417,ACTUAL,3
2024-04-09,13,0,2024-04-09T19:00:00-00:00,2024-04-09T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8810.30243,ACTUAL,3
2024-04-09,18,0,2024-04-10T00:00:00-00:00,2024-04-10T01:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,7173.22747,ACTUAL,3
2024-04-09,3,0,2024-04-09T09:00:00-00:00,2024-04-09T10:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-36.7764,ACTUAL,3
